VALUE_SET_CODE,ACCOUNT_TYPE,VALUE,DESCRIPTION,ENABLED_FLAG,START_DATE_ACTIVE,END_DATE_ACTIVE,CREATION_DATE,UPDATED_DATE
"KOJ Store",,11150819,"IntNBS Al Dhait My City Centre",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150820,"IntELC RAK Manar Mall",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150821,"IntMHR Madinah Al Noor Mall",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150822,"IntNAM Jeddah Mall Of Arabia",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150823,"IntNAY Sur My City Centre",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150824,"IntMIK Sur My City Centre",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150825,"IntELC Dubai New Springs Village",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150826,"IntNBS Abu Dhabi Mushrif Mall",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150827,"IntNBS Dubai Box Park",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150828,"IntELC Kuwait Avenues Mall",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150829,"IntMIK Sharjah Al Zahia City Centre",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150830,"IntNPC Sharjah Al Zahia City Centre",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150831,"IntTOY Sharjah Al Zahia City Centre",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150832,"IntNBS Sharjah Al Zahia City Centre",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150833,"IntMIK Dubai Arabian Centre",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150834,"IntNBS Sharjah Mega Mall",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150835,"IntMIK Jeddah Red Sea Mall 2",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150836,"IntNAM Jeddah Red Sea Mall",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150837,"IntMIK Madinah ALIAT MALL  2",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150838,"IntMIK Makkah MAKKAH MALL",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150839,"IntMIK Riyadh AL SALAM PLAZA",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150840,"IntMIK Jeddah ANDALUS MALL",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150841,"IntMIK Jeddah MALL OF ARABIA",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150842,"IntMIK Jeddah AL SALAM MALL",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150843,"IntMIK Jizan KADI MALL",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150844,"IntMIK Dhahran MALL OF DHAHRAN",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150845,"IntMIK Makkah ABRAJ AL BAIT MALL",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150846,"IntMIK Taif OBAIKAN MALL",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150847,"IntTBS Jeddah Mall Of Arabia 2",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150848,"IntTBS Jeddah Red Sea Mall",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150849,"IntELC Riyadh Hayat Mall",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150850,"IntELC Jeddah Tahlia Mall",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
